ID,NodeType,weight,x,y,degree,degree.in,degree.out,degreeCentrality,OutDegreeCentrality,label
1048,3,1,0,0,106,95,11,0.000600675476573656,0.000124668495137929,1048
1049,3,1,0,0,82,73,9,0.000464673481877734,0.000102001496021942,1049
105,0,1,0,0,14,8,6,7.93344969059546E-05,6.80009973479611E-05,105
1050,2,1,0,0,11,10,1,6.23342475689643E-05,1.13334995579935E-05,1050
1051,7,1,0,0,46,39,7,0.000260670489833851,7.93344969059546E-05,1051
1052,1,1,0,0,63,51,12,0.000357005236076796,0.000136001994695922,1052
1053,2,1,0,0,8,7,1,4.53339982319741E-05,1.13334995579935E-05,1053
1054,3,1,0,0,54,45,9,0.000306004488065825,0.000102001496021942,1054
1055,2,1,0,0,14,12,2,7.93344969059546E-05,2.2666999115987E-05,1055
1056,3,1,0,0,65,57,8,0.000368338735634789,9.06679964639481E-05,1056
1057,2,1,0,0,5,3,2,2.83337488949838E-05,2.2666999115987E-05,1057
1058,3,1,0,0,7,5,2,3.96672484529773E-05,2.2666999115987E-05,1058
1059,3,1,0,0,165,147,18,0.000935013713534465,0.000204002992043883,1059
106,0,1,0,0,8,5,3,4.53339982319741E-05,3.40004986739806E-05,106
1060,1,1,0,0,51,40,11,0.000289004238728835,0.000124668495137929,1060
1061,2,1,0,0,10,8,2,5.66674977899676E-05,2.2666999115987E-05,1061
1062,7,1,0,0,22,18,4,0.000124668495137929,4.53339982319741E-05,1062
1063,3,1,0,0,22,16,6,0.000124668495137929,6.80009973479611E-05,1063
1064,1,1,0,0,27,22,5,0.000153002244032912,5.66674977899676E-05,1064
1065,7,1,0,0,2,1,1,1.13334995579935E-05,1.13334995579935E-05,1065
1066,7,1,0,0,68,54,14,0.00038533898497178,0.000158668993811909,1066
1067,7,1,0,0,76,60,16,0.000430672983203754,0.000181335992927896,1067
1068,3,1,0,0,49,45,4,0.000277670739170841,4.53339982319741E-05,1068
1069,3,1,0,0,21,12,9,0.000119001745358932,0.000102001496021942,1069
107,3,1,0,0,1045,1043,2,0.00592175351905161,2.2666999115987E-05,107
1070,1,1,0,0,78,61,17,0.000442006482761747,0.00019266949248589,1070
1071,3,1,0,0,3,2,1,1.70002493369903E-05,1.13334995579935E-05,1071
1072,7,1,0,0,26,19,7,0.000147335494253916,7.93344969059546E-05,1072
1073,2,1,0,0,10,6,4,5.66674977899676E-05,4.53339982319741E-05,1073
1074,3,1,0,0,63,53,10,0.000357005236076796,0.000113334995579935,1074
1075,1,1,0,0,80,68,12,0.000453339982319741,0.000136001994695922,1075
1076,3,1,0,0,142,126,16,0.00080467846861754,0.000181335992927896,1076
1077,3,1,0,0,15,12,3,8.50012466849514E-05,3.40004986739806E-05,1077
1078,3,1,0,0,183,156,27,0.00103701520955641,0.000306004488065825,1078
1079,3,1,0,0,123,109,14,0.000697010222816601,0.000158668993811909,1079
108,0,1,0,0,13,9,4,7.36677471269579E-05,4.53339982319741E-05,108
1080,1,1,0,0,60,45,15,0.000340004986739806,0.000170002493369903,1080
1081,7,1,0,0,30,20,10,0.000170002493369903,0.000113334995579935,1081
1082,7,1,0,0,57,49,8,0.000323004737402815,9.06679964639481E-05,1082
1083,3,1,0,0,106,90,16,0.000600675476573656,0.000181335992927896,1083
1084,3,1,0,0,15,10,5,8.50012466849514E-05,5.66674977899676E-05,1084
1085,9,1,0,0,66,64,2,0.000374005485413786,2.2666999115987E-05,1085
1086,1,1,0,0,205,168,37,0.00116168370469434,0.00041933948364576,1086
1087,3,1,0,0,7,4,3,3.96672484529773E-05,3.40004986739806E-05,1087
1088,2,1,0,0,14,11,3,7.93344969059546E-05,3.40004986739806E-05,1088
1089,7,1,0,0,14,11,3,7.93344969059546E-05,3.40004986739806E-05,1089
109,0,1,0,0,37,27,10,0.00020966974182288,0.000113334995579935,109
1090,7,1,0,0,13,11,2,7.36677471269579E-05,2.2666999115987E-05,1090
1091,3,1,0,0,20,14,6,0.000113334995579935,6.80009973479611E-05,1091
1092,3,1,0,0,50,38,12,0.000283337488949838,0.000136001994695922,1092
1093,1,1,0,0,9,7,2,5.10007480109708E-05,2.2666999115987E-05,1093
1094,1,1,0,0,11,9,2,6.23342475689643E-05,2.2666999115987E-05,1094
1095,1,1,0,0,24,14,10,0.000136001994695922,0.000113334995579935,1095
1096,3,1,0,0,1,,1,5.66674977899676E-06,1.13334995579935E-05,1096
1097,8,1,0,0,36,29,7,0.000204002992043883,7.93344969059546E-05,1097
1098,2,1,0,0,23,19,4,0.000130335244916925,4.53339982319741E-05,1098
1099,7,1,0,0,56,42,14,0.000317337987623819,0.000158668993811909,1099
11,0,1,0,0,1,,1,5.66674977899676E-06,1.13334995579935E-05,11
110,0,1,0,0,5,2,3,2.83337488949838E-05,3.40004986739806E-05,110
1100,7,1,0,0,64,50,14,0.000362671985855793,0.000158668993811909,1100
1101,3,1,0,0,123,104,19,0.000697010222816601,0.000215336491601877,1101
1102,7,1,0,0,51,36,15,0.000289004238728835,0.000170002493369903,1102
1103,7,1,0,0,8,5,3,4.53339982319741E-05,3.40004986739806E-05,1103
1104,7,1,0,0,109,83,26,0.000617675725910647,0.000294670988507831,1104
1105,3,1,0,0,4,2,2,2.2666999115987E-05,2.2666999115987E-05,1105
1106,7,1,0,0,27,22,5,0.000153002244032912,5.66674977899676E-05,1106
1107,3,1,0,0,141,125,16,0.000799011718838543,0.000181335992927896,1107
1108,7,1,0,0,43,29,14,0.000243670240496861,0.000158668993811909,1108
1109,7,1,0,0,38,24,14,0.000215336491601877,0.000158668993811909,1109
111,0,1,0,0,14,8,6,7.93344969059546E-05,6.80009973479611E-05,111
1110,1,1,0,0,70,53,17,0.000396672484529773,0.00019266949248589,1110
1111,2,1,0,0,9,3,6,5.10007480109708E-05,6.80009973479611E-05,1111
1112,3,1,0,0,54,44,10,0.000306004488065825,0.000113334995579935,1112
1113,1,1,0,0,47,32,15,0.000266337239612848,0.000170002493369903,1113
1114,1,1,0,0,38,25,13,0.000215336491601877,0.000147335494253916,1114
1115,7,1,0,0,36,30,6,0.000204002992043883,6.80009973479611E-05,1115
1116,3,1,0,0,29,23,6,0.000164335743590906,6.80009973479611E-05,1116
1117,3,1,0,0,122,111,11,0.000691343473037605,0.000124668495137929,1117
1118,8,1,0,0,35,27,8,0.000198336242264887,9.06679964639481E-05,1118
1119,3,1,0,0,1,,1,5.66674977899676E-06,1.13334995579935E-05,1119
112,0,1,0,0,3,1,2,1.70002493369903E-05,2.2666999115987E-05,112
1120,7,1,0,0,51,40,11,0.000289004238728835,0.000124668495137929,1120
1121,7,1,0,0,24,16,8,0.000136001994695922,9.06679964639481E-05,1121
1122,1,1,0,0,49,29,20,0.000277670739170841,0.00022666999115987,1122
1123,3,1,0,0,71,59,12,0.00040233923430877,0.000136001994695922,1123
1124,3,1,0,0,130,108,22,0.000736677471269579,0.000249336990275857,1124
1125,3,1,0,0,117,95,22,0.000663009724142621,0.000249336990275857,1125
1126,3,1,0,0,198,163,35,0.00112201645624136,0.000396672484529773,1126
1127,7,1,0,0,21,15,6,0.000119001745358932,6.80009973479611E-05,1127
1128,1,1,0,0,98,77,21,0.000555341478341682,0.000238003490717864,1128
1129,7,1,0,0,60,45,15,0.000340004986739806,0.000170002493369903,1129
113,0,1,0,0,40,28,12,0.00022666999115987,0.000136001994695922,113
1130,3,1,0,0,66,55,11,0.000374005485413786,0.000124668495137929,1130
1131,7,1,0,0,32,25,7,0.000181335992927896,7.93344969059546E-05,1131
1132,3,1,0,0,142,114,28,0.00080467846861754,0.000317337987623819,1132
1133,3,1,0,0,6,3,3,3.40004986739806E-05,3.40004986739806E-05,1133
1134,7,1,0,0,11,6,5,6.23342475689643E-05,5.66674977899676E-05,1134
1135,3,1,0,0,68,58,10,0.00038533898497178,0.000113334995579935,1135
1136,2,1,0,0,33,26,7,0.000187002742706893,7.93344969059546E-05,1136
1137,8,1,0,0,29,22,7,0.000164335743590906,7.93344969059546E-05,1137
1138,2,1,0,0,14,8,6,7.93344969059546E-05,6.80009973479611E-05,1138
1139,7,1,0,0,24,20,4,0.000136001994695922,4.53339982319741E-05,1139
114,0,1,0,0,1,,1,5.66674977899676E-06,1.13334995579935E-05,114
1140,6,1,0,0,9,7,2,5.10007480109708E-05,2.2666999115987E-05,1140
1141,7,1,0,0,18,14,4,0.000102001496021942,4.53339982319741E-05,1141
1142,1,1,0,0,33,22,11,0.000187002742706893,0.000124668495137929,1142
1143,7,1,0,0,14,10,4,7.93344969059546E-05,4.53339982319741E-05,1143
1144,2,1,0,0,21,16,5,0.000119001745358932,5.66674977899676E-05,1144
1145,3,1,0,0,1,,1,5.66674977899676E-06,1.13334995579935E-05,1145
1146,3,1,0,0,147,121,26,0.000833012217512524,0.000294670988507831,1146
1147,1,1,0,0,5,3,2,2.83337488949838E-05,2.2666999115987E-05,1147
1148,7,1,0,0,65,48,17,0.000368338735634789,0.00019266949248589,1148
1149,3,1,0,0,102,80,22,0.000578008477457669,0.000249336990275857,1149
115,0,1,0,0,21,13,8,0.000119001745358932,9.06679964639481E-05,115
1150,3,1,0,0,14,12,2,7.93344969059546E-05,2.2666999115987E-05,1150
1151,3,1,0,0,6,4,2,3.40004986739806E-05,2.2666999115987E-05,1151
1152,7,1,0,0,17,12,5,9.63347462429449E-05,5.66674977899676E-05,1152
1153,3,1,0,0,139,112,27,0.000787678219280549,0.000306004488065825,1153
1154,1,1,0,0,9,6,3,5.10007480109708E-05,3.40004986739806E-05,1154
1155,1,1,0,0,45,24,21,0.000255003740054854,0.000238003490717864,1155
1156,3,1,0,0,99,78,21,0.000561008228120679,0.000238003490717864,1156
1157,3,1,0,0,5,4,1,2.83337488949838E-05,1.13334995579935E-05,1157
1158,7,1,0,0,66,47,19,0.000374005485413786,0.000215336491601877,1158
1159,7,1,0,0,61,48,13,0.000345671736518802,0.000147335494253916,1159
116,0,1,0,0,17,9,8,9.63347462429449E-05,9.06679964639481E-05,116
1160,3,1,0,0,88,69,19,0.000498673980551715,0.000215336491601877,1160
1161,3,1,0,0,19,16,3,0.000107668245800938,3.40004986739806E-05,1161
1162,1,1,0,0,8,7,1,4.53339982319741E-05,1.13334995579935E-05,1162
1163,3,1,0,0,100,70,30,0.000566674977899676,0.000340004986739806,1163
1164,3,1,0,0,27,19,8,0.000153002244032912,9.06679964639481E-05,1164
1165,2,1,0,0,26,17,9,0.000147335494253916,0.000102001496021942,1165
1166,7,1,0,0,57,41,16,0.000323004737402815,0.000181335992927896,1166
1167,7,1,0,0,28,23,5,0.000158668993811909,5.66674977899676E-05,1167
1168,7,1,0,0,6,2,4,3.40004986739806E-05,4.53339982319741E-05,1168
1169,7,1,0,0,19,11,8,0.000107668245800938,9.06679964639481E-05,1169
117,0,1,0,0,6,3,3,3.40004986739806E-05,3.40004986739806E-05,117
1170,7,1,0,0,36,23,13,0.000204002992043883,0.000147335494253916,1170
1171,2,1,0,0,24,15,9,0.000136001994695922,0.000102001496021942,1171
1172,3,1,0,0,113,85,28,0.000640342725026634,0.000317337987623819,1172
1173,3,1,0,0,115,89,26,0.000651676224584627,0.000294670988507831,1173
1174,2,1,0,0,18,13,5,0.000102001496021942,5.66674977899676E-05,1174
1175,3,1,0,0,132,102,30,0.000748010970827572,0.000340004986739806,1175
1176,7,1,0,0,2,1,1,1.13334995579935E-05,1.13334995579935E-05,1176
1177,2,1,0,0,15,8,7,8.50012466849514E-05,7.93344969059546E-05,1177
1178,2,1,0,0,13,7,6,7.36677471269579E-05,6.80009973479611E-05,1178
1179,1,1,0,0,45,24,21,0.000255003740054854,0.000238003490717864,1179
118,0,1,0,0,36,24,12,0.000204002992043883,0.000136001994695922,118
1180,3,1,0,0,45,33,12,0.000255003740054854,0.000136001994695922,1180
1181,3,1,0,0,89,75,14,0.000504340730330712,0.000158668993811909,1181
1182,3,1,0,0,66,52,14,0.000374005485413786,0.000158668993811909,1182
1183,1,1,0,0,34,23,11,0.00019266949248589,0.000124668495137929,1183
1184,3,1,0,0,158,124,34,0.000895346465081488,0.00038533898497178,1184
1185,3,1,0,0,156,115,41,0.000884012965523494,0.000464673481877734,1185
1186,8,1,0,0,17,10,7,9.63347462429449E-05,7.93344969059546E-05,1186
1187,2,1,0,0,20,15,5,0.000113334995579935,5.66674977899676E-05,1187
1188,7,1,0,0,32,21,11,0.000181335992927896,0.000124668495137929,1188
1189,7,1,0,0,38,25,13,0.000215336491601877,0.000147335494253916,1189
119,0,1,0,0,62,40,22,0.000351338486297799,0.000249336990275857,119
1190,7,1,0,0,39,30,9,0.000221003241380874,0.000102001496021942,1190
1191,3,1,0,0,110,77,33,0.000623342475689643,0.000374005485413786,1191
1192,7,1,0,0,97,66,31,0.000549674728562686,0.000351338486297799,1192
1193,2,1,0,0,9,4,5,5.10007480109708E-05,5.66674977899676E-05,1193
1194,3,1,0,0,4,2,2,2.2666999115987E-05,2.2666999115987E-05,1194
1195,3,1,0,0,49,37,12,0.000277670739170841,0.000136001994695922,1195
1196,3,1,0,0,26,19,7,0.000147335494253916,7.93344969059546E-05,1196
1197,2,1,0,0,15,6,9,8.50012466849514E-05,0.000102001496021942,1197
1198,3,1,0,0,83,67,16,0.000470340231656731,0.000181335992927896,1198
1199,3,1,0,0,217,160,57,0.0012296847020423,0.00064600947480563,1199
12,0,1,0,0,1,,1,5.66674977899676E-06,1.13334995579935E-05,12
120,0,1,0,0,4,3,1,2.2666999115987E-05,1.13334995579935E-05,120
1200,1,1,0,0,4,3,1,2.2666999115987E-05,1.13334995579935E-05,1200
1201,3,1,0,0,58,39,19,0.000328671487181812,0.000215336491601877,1201
1202,3,1,0,0,9,4,5,5.10007480109708E-05,5.66674977899676E-05,1202
1203,2,1,0,0,8,6,2,4.53339982319741E-05,2.2666999115987E-05,1203
1204,7,1,0,0,107,77,30,0.000606342226352653,0.000340004986739806,1204
1205,3,1,0,0,102,76,26,0.000578008477457669,0.000294670988507831,1205
1206,3,1,0,0,1,,1,5.66674977899676E-06,1.13334995579935E-05,1206
1207,3,1,0,0,72,51,21,0.000408005984087767,0.000238003490717864,1207
1208,3,1,0,0,3,,3,1.70002493369903E-05,3.40004986739806E-05,1208
1209,3,1,0,0,76,56,20,0.000430672983203754,0.00022666999115987,1209
121,0,1,0,0,12,6,6,6.80009973479611E-05,6.80009973479611E-05,121
1210,1,1,0,0,40,27,13,0.00022666999115987,0.000147335494253916,1210
1211,3,1,0,0,173,126,47,0.000980347711766439,0.000532674479225695,1211
1212,1,1,0,0,26,19,7,0.000147335494253916,7.93344969059546E-05,1212
1213,7,1,0,0,20,13,7,0.000113334995579935,7.93344969059546E-05,1213
1214,3,1,0,0,114,80,34,0.00064600947480563,0.00038533898497178,1214
1215,7,1,0,0,43,29,14,0.000243670240496861,0.000158668993811909,1215
1216,8,1,0,0,36,24,12,0.000204002992043883,0.000136001994695922,1216
1217,1,1,0,0,47,33,14,0.000266337239612848,0.000158668993811909,1217
1218,2,1,0,0,11,5,6,6.23342475689643E-05,6.80009973479611E-05,1218
1219,3,1,0,0,54,35,19,0.000306004488065825,0.000215336491601877,1219
122,0,1,0,0,63,44,19,0.000357005236076796,0.000215336491601877,122
1220,3,1,0,0,9,7,2,5.10007480109708E-05,2.2666999115987E-05,1220
1221,7,1,0,0,71,55,16,0.00040233923430877,0.000181335992927896,1221
1222,3,1,0,0,142,98,44,0.00080467846861754,0.000498673980551715,1222
1223,1,1,0,0,22,11,11,0.000124668495137929,0.000124668495137929,1223
1224,3,1,0,0,2,,2,1.13334995579935E-05,2.2666999115987E-05,1224
1225,7,1,0,0,30,18,12,0.000170002493369903,0.000136001994695922,1225
1226,1,1,0,0,35,21,14,0.000198336242264887,0.000158668993811909,1226
1227,7,1,0,0,84,54,30,0.000476006981435728,0.000340004986739806,1227
1228,7,1,0,0,23,9,14,0.000130335244916925,0.000158668993811909,1228
1229,7,1,0,0,47,30,17,0.000266337239612848,0.00019266949248589,1229
123,0,1,0,0,18,9,9,0.000102001496021942,0.000102001496021942,123
1230,3,1,0,0,125,90,35,0.000708343722374595,0.000396672484529773,1230
1231,7,1,0,0,74,45,29,0.00041933948364576,0.000328671487181812,1231
1232,8,1,0,0,29,18,11,0.000164335743590906,0.000124668495137929,1232
1233,7,1,0,0,2,,2,1.13334995579935E-05,2.2666999115987E-05,1233
1234,1,1,0,0,15,11,4,8.50012466849514E-05,4.53339982319741E-05,1234
1235,7,1,0,0,107,66,41,0.000606342226352653,0.000464673481877734,1235
1236,7,1,0,0,43,28,15,0.000243670240496861,0.000170002493369903,1236
1237,1,1,0,0,60,32,28,0.000340004986739806,0.000317337987623819,1237
1238,3,1,0,0,152,105,47,0.000861345966407507,0.000532674479225695,1238
1239,3,1,0,0,9,5,4,5.10007480109708E-05,4.53339982319741E-05,1239
124,0,1,0,0,4,2,2,2.2666999115987E-05,2.2666999115987E-05,124
1240,2,1,0,0,7,4,3,3.96672484529773E-05,3.40004986739806E-05,1240
1241,7,1,0,0,20,12,8,0.000113334995579935,9.06679964639481E-05,1241
1242,3,1,0,0,93,68,25,0.000527007729446699,0.000283337488949838,1242
1243,3,1,0,0,112,73,39,0.000634675975247637,0.000442006482761747,1243
1244,7,1,0,0,12,7,5,6.80009973479611E-05,5.66674977899676E-05,1244
1245,7,1,0,0,40,25,15,0.00022666999115987,0.000170002493369903,1245
1246,7,1,0,0,35,26,9,0.000198336242264887,0.000102001496021942,1246
1247,1,1,0,0,24,17,7,0.000136001994695922,7.93344969059546E-05,1247
1248,7,1,0,0,8,4,4,4.53339982319741E-05,4.53339982319741E-05,1248
1249,7,1,0,0,15,8,7,8.50012466849514E-05,7.93344969059546E-05,1249
125,0,1,0,0,4,2,2,2.2666999115987E-05,2.2666999115987E-05,125
1250,3,1,0,0,137,100,37,0.000776344719722556,0.00041933948364576,1250
1251,2,1,0,0,12,7,5,6.80009973479611E-05,5.66674977899676E-05,1251
1252,2,1,0,0,3,1,2,1.70002493369903E-05,2.2666999115987E-05,1252
1253,3,1,0,0,3,,3,1.70002493369903E-05,3.40004986739806E-05,1253
1254,2,1,0,0,6,1,5,3.40004986739806E-05,5.66674977899676E-05,1254
1255,3,1,0,0,124,93,31,0.000702676972595598,0.000351338486297799,1255
1256,3,1,0,0,135,89,46,0.000765011220164562,0.000521340979667702,1256
1257,7,1,0,0,55,31,24,0.000311671237844822,0.000272003989391844,1257
1258,7,1,0,0,42,27,15,0.000238003490717864,0.000170002493369903,1258
1259,7,1,0,0,47,27,20,0.000266337239612848,0.00022666999115987,1259
126,0,1,0,0,7,2,5,3.96672484529773E-05,5.66674977899676E-05,126
1260,7,1,0,0,38,20,18,0.000215336491601877,0.000204002992043883,1260
1261,7,1,0,0,68,42,26,0.00038533898497178,0.000294670988507831,1261
1262,3,1,0,0,2,1,1,1.13334995579935E-05,1.13334995579935E-05,1262
1263,7,1,0,0,6,2,4,3.40004986739806E-05,4.53339982319741E-05,1263
1264,7,1,0,0,5,3,2,2.83337488949838E-05,2.2666999115987E-05,1264
1265,3,1,0,0,31,19,12,0.0001756692431489,0.000136001994695922,1265
1266,2,1,0,0,13,9,4,7.36677471269579E-05,4.53339982319741E-05,1266
1267,3,1,0,0,120,82,38,0.000680009973479611,0.000430672983203754,1267
1268,1,1,0,0,11,6,5,6.23342475689643E-05,5.66674977899676E-05,1268
1269,3,1,0,0,126,87,39,0.000714010472153592,0.000442006482761747,1269
127,0,1,0,0,16,12,4,9.06679964639481E-05,4.53339982319741E-05,127
1270,3,1,0,0,2,1,1,1.13334995579935E-05,1.13334995579935E-05,1270
1271,3,1,0,0,96,59,37,0.000544007978783689,0.00041933948364576,1271
1272,3,1,0,0,84,62,22,0.000476006981435728,0.000249336990275857,1272
1273,7,1,0,0,64,33,31,0.000362671985855793,0.000351338486297799,1273
1274,2,1,0,0,25,18,7,0.000141668744474919,7.93344969059546E-05,1274
1275,7,1,0,0,57,33,24,0.000323004737402815,0.000272003989391844,1275
1276,3,1,0,0,2,1,1,1.13334995579935E-05,1.13334995579935E-05,1276
1277,7,1,0,0,124,77,47,0.000702676972595598,0.000532674479225695,1277
1278,3,1,0,0,36,19,17,0.000204002992043883,0.00019266949248589,1278
1279,7,1,0,0,44,27,17,0.000249336990275857,0.00019266949248589,1279
128,0,1,0,0,28,19,9,0.000158668993811909,0.000102001496021942,128
1280,3,1,0,0,76,47,29,0.000430672983203754,0.000328671487181812,1280
1281,7,1,0,0,41,28,13,0.000232336740938867,0.000147335494253916,1281
1282,7,1,0,0,68,38,30,0.00038533898497178,0.000340004986739806,1282
1283,3,1,0,0,32,24,8,0.000181335992927896,9.06679964639481E-05,1283
1284,7,1,0,0,60,40,20,0.000340004986739806,0.00022666999115987,1284
1285,3,1,0,0,55,32,23,0.000311671237844822,0.000260670489833851,1285
1286,7,1,0,0,23,10,13,0.000130335244916925,0.000147335494253916,1286
1287,3,1,0,0,66,45,21,0.000374005485413786,0.000238003490717864,1287
1288,3,1,0,0,92,57,35,0.000521340979667702,0.000396672484529773,1288
1289,3,1,0,0,85,49,36,0.000481673731214724,0.000408005984087767,1289
129,0,1,0,0,7,4,3,3.96672484529773E-05,3.40004986739806E-05,129
1290,3,1,0,0,87,61,26,0.000493007230772718,0.000294670988507831,1290
1291,3,1,0,0,113,73,40,0.000640342725026634,0.000453339982319741,1291
1292,7,1,0,0,55,33,22,0.000311671237844822,0.000249336990275857,1292
1293,3,1,0,0,48,33,15,0.000272003989391844,0.000170002493369903,1293
1294,1,1,0,0,22,10,12,0.000124668495137929,0.000136001994695922,1294
1295,1,1,0,0,5,1,4,2.83337488949838E-05,4.53339982319741E-05,1295
1296,7,1,0,0,25,14,11,0.000141668744474919,0.000124668495137929,1296
1297,2,1,0,0,6,3,3,3.40004986739806E-05,3.40004986739806E-05,1297
1298,7,1,0,0,71,41,30,0.00040233923430877,0.000340004986739806,1298
1299,7,1,0,0,31,17,14,0.0001756692431489,0.000158668993811909,1299
13,0,1,0,0,31,30,1,0.0001756692431489,1.13334995579935E-05,13
130,0,1,0,0,16,9,7,9.06679964639481E-05,7.93344969059546E-05,130
1300,1,1,0,0,31,15,16,0.0001756692431489,0.000181335992927896,1300
1301,3,1,0,0,6,2,4,3.40004986739806E-05,4.53339982319741E-05,1301
1302,3,1,0,0,107,65,42,0.000606342226352653,0.000476006981435728,1302
1303,7,1,0,0,48,24,24,0.000272003989391844,0.000272003989391844,1303
1304,7,1,0,0,38,16,22,0.000215336491601877,0.000249336990275857,1304
1305,3,1,0,0,104,69,35,0.000589341977015663,0.000396672484529773,1305
1306,7,1,0,0,26,13,13,0.000147335494253916,0.000147335494253916,1306
1307,2,1,0,0,31,19,12,0.0001756692431489,0.000136001994695922,1307
1308,7,1,0,0,20,8,12,0.000113334995579935,0.000136001994695922,1308
1309,7,1,0,0,43,25,18,0.000243670240496861,0.000204002992043883,1309
131,0,1,0,0,7,5,2,3.96672484529773E-05,2.2666999115987E-05,131
1310,7,1,0,0,27,12,15,0.000153002244032912,0.000170002493369903,1310
1311,7,1,0,0,24,14,10,0.000136001994695922,0.000113334995579935,1311
1312,3,1,0,0,80,54,26,0.000453339982319741,0.000294670988507831,1312
1313,1,1,0,0,34,15,19,0.00019266949248589,0.000215336491601877,1313
1314,8,1,0,0,26,15,11,0.000147335494253916,0.000124668495137929,1314
